"stil","ime_nemscina","opis_materiala_nemscina","opis_artikla_nemscina"
"48.1039","Gästehandtuch ""Luxury Hotel""","675g/m², 100% gekämmte Baumwolle","Einfassung mit hochwertiger Bordüre, Schlaufe zum Aufhängen, Maße: 30x50cm, 90° waschbar"
"48.1040","Handtuch ""Luxury Hotel""","675g/m², 100% gekämmte Baumwolle","Einfassung mit hochwertiger Bordüre, Schlaufe zum Aufhängen, Maße: 50x100cm, 90° waschbar"
"48.1041","Duschtuch ""Luxury Hotel""","675g/m², 100% gekämmte Baumwolle","Einfassung mit hochwertiger Bordüre, Schlaufe zum Aufhängen, Maße: 70x140cm, 90° waschbar"
"48.1043","Kapuzen Bademantel","450g/m², 100% gekämmte Baumwolle","Außen: aus weichem Velours, Innenseite: saugfähiges Frottee, Bordüren an Kragen, Ärmel und Taschen, Schlaufe zum Aufhängen, 60° waschbar"
"48.1044","Bademantel","230g/m², 100% Baumwolle","2 aufgesetzte Taschen, Bindegürtel, Aufhängeöse, Waffeloptik, 30° waschbar"
"48.1045","Badetuch","230g/m², 100% Baumwolle","Waffeloptik, Maße: 100x150cm, Handwäsche, 30° waschbar"
"48.1046","Hamamtuch ""Marine""","270g/m², 100% Baumwolle","Streifen-Design, gedrehte Quasten, Maße: 100x180cm, 30° waschbar"
"48.1047","Badematte","1.000g/m², 100% gekämmte Baumwolle","Frottier Streifen außen, Maße: 50x80cm, Innenfläche: Velour, 60° waschbar"
"48.1048","Latzschürze","210g/m², 65% Polyester, 35% Baumwolle","Taschenmaß: 40x20cm, Maße: 75x95cm, 60° waschbar, trocknergeeignet"
"48.1050","Topflappen","185g/m², 100% Baumwolle","Maße: 21x21cm, 60° waschbar, trocknergeeignet"
"48.1051","Ofenhandschuh","185g/m², 100% Baumwolle","Maße: 21x30cm, 60° waschbar, trocknergeeignet"
"48.1052","Bistroschürze","210g/m², 65% Baumwolle, 35% Polyester","Maße: 90x100cm, 60° waschbar, trocknergeeignet"
"48.1053","Bistroschürze","210g/m², 65% Polyester, 35% Baumwolle","Abgerundete Form, schmal eingefasst, 1 geteilte Tasche vorn, Maße: 60x35cm, 60° waschbar, trocknergeeignet"
"48.1056","Handtuch ""Stripe""","550g/m², 100% Baumwolle","Maße: 90x190cm, 60° waschbar"
"48.1057","Hamam Tasche","280g/m², 100% Baumwolle","Tasche inkl. Handtuch, 2 Tragegriffe, Kordelzug mit Stopper, faltbar, Maße: 40x50cm, 30° waschbar, Handtuch: extra Tasche mit Reißverschluss für Wertsachen, Maße: 90x170cm"
"48.1058","Hamam Handtuch ""Season""","370g/m², 100% Baumwolle","Jacquard- und Streifenmuster, Kordel mit Quasten am Saum, Maße: 90x170cm, 30° waschbar, wird auf einem Kleiderbügel geliefert"
"48.1059","Hamamtuch","300g/m², 60% recycelte Baumwolle, 40% recyceltes Polyester","Streifen-Design, gedrehte Fransen, leicht und schnelltrocknend, Maße: 100x180cm, 30° waschbar, wird aufgerollt mit einer recycelten Baumwollkordel geliefert"
"48.1061","Strandtuch ""Recycled""","450g/m², 70% recycelte Baumwolle, 30% recyceltes Polyester","Maße: 100x180cm, 30° waschbar"
"48.1065","Handtuch ""Recycled""","450g/m², 70% recycelte Baumwolle, 30% recyceltes Polyester","Maße: 50x100cm, 30° waschbar"
"48.1067","Duschtuch ""Recycled""","450g/m², 70% recycelte Baumwolle, 30% recyceltes Polyester","Maße: 70x140cm, 30° waschbar"
"48.1080","Bio Waschhandschuh","550g/m², 100% gekämmte zertifizierte Bio-Baumwolle","Schlaufe zum Aufhängen, Maße: 16x21cm, 30° waschbar"
"48.1081","Bio Gästehandtuch","550g/m², 100% gekämmte zertifizierte Bio-Baumwolle","2 schmale Bordürenstreifen, Schlaufe zum Aufhängen, Maße: 30x50cm, 60° waschbar (weiß 90°)"
"48.1082","Bio Handtuch","550g/m², 100% gekämmte zertifizierte Bio-Baumwolle","2 schmale Bordürenstreifen, Schlaufe zum Aufhängen, Maße: 50x100cm, 60° waschbar (weiß 90°)"
"48.1083","Bio Duschtuch","550g/m², 100% gekämmte zertifizierte Bio-Baumwolle","2 schmale Bordürenstreifen, Schlaufe zum Aufhängen, Maße: 70x140cm, 60° waschbar (weiß 90°)"
"48.1084","Bio Bademantel","420g/m², 100% gekämmte zertifizierte Bio-Baumwolle","Schlaufe zum Aufhängen, 40° waschbar (weiß 90°)"
"48.1085","Bio Strandtuch","550g/m², 100% gekämmte zertifizierte Bio-Baumwolle","3 schmale Bordürenstreifen, Schlaufe zum Aufhängen, Maße: 100x180cm, 60° waschbar (weiß 90°)"
"48.ZF01","Farbkarte 2019-2021","NULL","4-seitiger Folder, Echtstoffmuster, von Umtausch und Rückgabe ausgeschlossen"
"49.4894","Waschhandschuh ""Calypso Feeling""","550g/m², 100% Baumwolle","Schmale Kordelbiesen, Schlaufe zum Aufhängen, hergestellt in Österreich, geringe Flusenbildung durch AIRpillow-Technologie, dermatologisch getestet, besonders gute Saugfähigkeit, Maße: 22x16cm, 60° waschbar, trocknergeeignet, Produzent empfiehlt Waschen bei 20-40° zur Schonung der Umwelt"
"49.4896","Gästetuch ""Calypso Feeling""","550g/m², 100% Baumwolle","Schmale Kordelbiesen, Schlaufe zum Aufhängen, hergestellt in Österreich, geringe Flusenbildung durch AIRpillow-Technologie, dermatologisch getestet, besonders gute Saugfähigkeit, Maße: 30x50cm, 60° waschbar, trocknergeeignet, Produzent empfiehlt Waschen bei 20-40° zur Schonung der Umwelt"
"49.4898","Handtuch ""Calypso Feeling""","550g/m², 100% Baumwolle","Schmale Kordelbiesen, Schlaufe zum Aufhängen, hergestellt in Österreich, geringe Flusenbildung durch AIRpillow-Technologie, dermatologisch getestet, besonders gute Saugfähigkeit, Maße: 50x100cm, 60° waschbar, trocknergeeignet, Produzent empfiehlt Waschen bei 20-40° zur Schonung der Umwelt"
"49.4899","Duschtuch ""Calypso Feeling""","550g/m², 100% Baumwolle","Schmale Kordelbiesen, Schlaufe zum Aufhängen, hergestellt in Österreich, geringe Flusenbildung durch AIRpillow-Technologie, dermatologisch getestet, besonders gute Saugfähigkeit, Maße: 67x140cm, 60° waschbar, trocknergeeignet, Produzent empfiehlt Waschen bei 20-40° zur Schonung der Umwelt"
"49.4900","Badetuch ""Calypso Feeling""","550g/m², 100% Baumwolle","Schmale Kordelbiesen, Schlaufe zum Aufhängen, hergestellt in Österreich, geringe Flusenbildung durch AIRpillow-Technologie, dermatologisch getestet, besonders gute Saugfähigkeit, Maße: 100x150cm, 60° waschbar, trocknergeeignet, Produzent empfiehlt Waschen bei 20-40° zur Schonung der Umwelt"
"49.4951","King Size Tuch ""Calypso Feeling""","550g/m², 100% Baumwolle","Schmale Kordelbiesen, Schlaufe zum Aufhängen, hergestellt in Österreich, geringe Flusenbildung durch AIRpillow-Technologie, dermatologisch getestet, besonders gute Saugfähigkeit, Maße: 80x200cm, 60° waschbar, trocknergeeignet, Produzent empfiehlt Waschen bei 20-40° zur Schonung der Umwelt"
"49.6062","Waschhandschuh ""New Generation""","500g/m², 100% Baumwolle","Schmaler Saumabschluss, Schlaufe zum Aufhängen, sehr leichtes Material, hergestellt in Österreich, geringe Flusenbildung durch AIRpillow-Technologie, Supersoft Garn für besonders weichen Griff und höhere Saugfähigkeit, dermatologisch getestet, Maße: 22x16cm, 60° waschbar, trocknergeeignet, Produzent empfiehlt Waschen bei 20-40° zur Schonung der Umwelt"
"49.6063","Gästetuch ""New Generation""","500g/m², 100% Baumwolle","Schmaler Saumabschluss, Schlaufe zum Aufhängen, sehr leichtes Material, hergestellt in Österreich, geringe Flusenbildung durch AIRpillow-Technologie, Supersoft Garn für besonders weichen Griff und höhere Saugfähigkeit, dermatologisch getestet, Maße: 30x50cm, 60° waschbar, trocknergeeignet, Produzent empfiehlt Waschen bei 20-40° zur Schonung der Umwelt"
"49.6064","Handtuch ""New Generation""","500g/m², 100% Baumwolle","Schmaler Saumabschluss, Schlaufe zum Aufhängen, sehr leichtes Material, hergestellt in Österreich, geringe Flusenbildung durch AIRpillow-Technologie, Supersoft Garn für besonders weichen Griff und höhere Saugfähigkeit, dermatologisch getestet, Maße: 50x100cm, 60° waschbar, trocknergeeignet, Produzent empfiehlt Waschen bei 20-40° zur Schonung der Umwelt"
"49.6065","Duschtuch ""New Generation""","500g/m², 100% Baumwolle","Schmaler Saumabschluss, Schlaufe zum Aufhängen, sehr leichtes Material, hergestellt in Österreich, geringe Flusenbildung durch AIRpillow-Technologie, Supersoft Garn für besonders weichen Griff und höhere Saugfähigkeit, dermatologisch getestet, Maße: 67x140cm, 60° waschbar, trocknergeeignet, Produzent empfiehlt Waschen bei 20-40° zur Schonung der Umwelt"
"49.6066","Badetuch ""New Generation""","500g/m², 100% Baumwolle","Schmaler Saumabschluss, Schlaufe zum Aufhängen, sehr leichtes Material, hergestellt in Österreich, geringe Flusenbildung durch AIRpillow-Technologie, Supersoft Garn für besonders weichen Griff und höhere Saugfähigkeit, dermatologisch getestet, Maße: 100x150cm, 60° waschbar, trocknergeeignet, Produzent empfiehlt Waschen bei 20-40° zur Schonung der Umwelt"
"49.6067","Badeteppich ""New Generation""","815g/m², 100% Baumwolle","Schmaler Saumabschluss, hergestellt in Österreich, geringe Flusenbildung durch AIRpillow-Technologie, Supersoft Garn für besonders weichen Griff und höhere Saugfähigkeit, dermatologisch getestet, Maße: 50x70cm, 60° waschbar, trocknergeeignet, Produzent empfiehlt Waschen bei 20-40° zur Schonung der Umwelt"
"49.7049","King Size Tuch ""New Generation""","500g/m², 100% Baumwolle","Schmaler Saumabschluss, Schlaufe zum Aufhängen, sehr leichtes Material, hergestellt in Österreich, geringe Flusenbildung durch AIRpillow-Technologie, Supersoft Garn für besonders weichen Griff und höhere Saugfähigkeit, dermatologisch getestet, Maße: 80x200cm, 60° waschbar, trocknergeeignet, Produzent empfiehlt Waschen bei 20-40° zur Schonung der Umwelt"
"49.8084","Handtuch ""Vegan Life""","580g/m², 100% Baumwolle","Schlaufe zum Aufhängen, hergestellt in Österreich, geringe Flusenbildung durch AIRpillow-Technologie, Supersoft Garn für besonders weichen Griff und höhere Saugfähigkeit, dermatologisch getestet, zertifizierte vegane Produktion ohne tierische Hilfsstoffe, Maße: 50x100cm, 60° waschbar, trocknergeeignet, Produzent empfiehlt Waschen bei 20-40° zur Schonung der Umwelt"
"49.8085","Duschtuch ""Vegan Life""","580g/m², 100% Baumwolle","Schlaufe zum Aufhängen, hergestellt in Österreich, geringe Flusenbildung durch AIRpillow-Technologie, Supersoft Garn für besonders weichen Griff und höhere Saugfähigkeit, dermatologisch getestet, zertifizierte vegane Produktion ohne tierische Hilfsstoffe, Maße: 67x140cm, 60° waschbar, trocknergeeignet, Produzent empfiehlt Waschen bei 20-40° zur Schonung der Umwelt"
"49.8096","Gästetuch ""Vegan Life""","580g/m², 100% Baumwolle","Schlaufe zum Aufhängen, hergestellt in Österreich, geringe Flusenbildung durch AIRpillow-Technologie, Supersoft Garn für besonders weichen Griff und höhere Saugfähigkeit, dermatologisch getestet, zertifizierte vegane Produktion ohne tierische Hilfsstoffe, Maße: 40x60cm, 60° waschbar, trocknergeeignet, Produzent empfiehlt Waschen bei 20-40° zur Schonung der Umwelt"
"49.8098","Badetuch ""Vegan Life""","580g/m², 100% Baumwolle","Schlaufe zum Aufhängen, hergestellt in Österreich, geringe Flusenbildung durch AIRpillow-Technologie, Supersoft Garn für besonders weichen Griff und höhere Saugfähigkeit, dermatologisch getestet, zertifizierte vegane Produktion ohne tierische Hilfsstoffe, Maße: 100x150cm, 60° waschbar, trocknergeeignet, Produzent empfiehlt Waschen bei 20-40° zur Schonung der Umwelt"
"50.0101","Baumwolltasche ""Bag for Life""","140g/m², 100% Baumwolle","Tragegrifflänge: 67cm, kann als Schulter- oder Tragetasche benutzt werden, Fassungsvermögen: 10l, Maße: 38x42cm"
"50.0103","Baumwolltasche Mini","140g/m², 100% Baumwolle","2 kurze Tragegriffe, Fassungsvermögen: 2,5l, Länge: 25cm, Maße: 19x25cm"
"50.0104","Mini Tragetasche","140g/m², 100% Baumwolle","Tragegrifflänge: 30cm, passend für A4 Dokumente, Fassungsvermögen: 4l, Maße: 26x32,5cm"
"50.0107","Baumwolltasche mit langem Henkel","140g/m², 100% Baumwolle","Stabiler Stoff-Schulterriemen, Tragegrifflänge: 118cm, Fassungsvermögen: 8l, Maße: 34x40cm"
"50.0108","Classic Canvas Shopper","270g/m², 100% Baumwoll-Canvas","2 lange Tragegriffe (Länge 58cm), kann über die Schulter oder in der Hand getragen werden, Fassungsvermögen: 20l, Maße: 39x42x13cm"
"50.0110","Baumwoll Turnbeutel","140g/m², 100% Baumwolle","Kordeldurchzugverschluss, auch als Rucksack tragbar, Fassungsvermögen: 12l, Maße: 37x46cm"
"50.0115","Baumwoll Utensilien Beutel","140g/m², 100% Baumwolle","Kordeldurchzugverschluss, in 6 Größen erhältlich, Größe/Maße/Fassungsvermögen: XXS - 10x15cm - 0,25l, XS - 14x20cm - 1l, S - 25x30cm - 3l, M - 30x45cm - 8l, L - 40x50cm - 14l, XL - 49x75cm - 38l"
"50.0118","Bio Baumwolltasche mit Zugkordel","115g/m², 100% zertifizierte Bio-Baumwolle","Einfarbiger Kordelzug aus Strick, in 4 Größen erhältlich, Größe/Maße/Fassungsvermögen: XS - 10x15cm - 0,25l, S - 14x22cm - 1l, M - 25x32cm - 3l, L - 30x47cm - 8l"
"50.0121","Baumwolltasche mit Geschenkband","140g/m², 100% gebürstete Baumwolle","Kordelzugverschluss mit Band, Geschenkbandkordel in Kontrastfarbe, TearAway Label, in 3 Größen erhältlich, Maße/Fassungsvermögen: S 15x22cm - 1l, M 36x44cm - 7l, L 49x62cm - 22l"
"50.0125","Maxi Baumwolltasche","140g/m², 100% Baumwolle","2 lange Tragegriffe (Länge 58cm), Fassungsvermögen: 18l, Maße: 35x39x13,5cm"
"50.0150","Bio Einkaufsnetz","100% zertifizierte Bio-Baumwolle","Baumwoll-Panel zur Veredelung, kann als Schulter- oder Tragetasche benutzt werden, Fassungsvermögen: 10l, Maße: 38x41cm"
"50.0180","Bio Baumwolltasche","170g/m², 100% zertifizierte Bio-Baumwolle","2 lange Tragegriffe, Tragegrifflänge: 58cm, Fassungsvermögen: 16l, Maße: 32x35x12cm"
"50.0201","Baumwolltasche","200g/m², 100% Baumwolle","Tragegrifflänge: 67cm, Fassungsvermögen: 10l, Maße: 38x42cm"
"50.0210","Premium Baumwoll Turnbeutel","200g/m², 100% Baumwolle","Kordeldurchzugverschluss, Kordelbefestigung an den Außenkanten zur leichteren Veredelung, Fassungsvermögen: 12l, Maße: 37x46cm"
"50.0216","Baumwollbeutel","200g/m², 100% Baumwolle","Doppelter Kordelzug, Premium-Baumwolle für verbesserte Lebensdauer, in 5 Größen erhältlich, Größe/Maße/Fassungsvermögen: XS - 14x20,5cm - 1l, S - 23x34cm - 3l, M - 31x48cm - 8l, L - 40x61,5cm - 15l, XL - 49,5x75cm - 38l"
"50.0225","Baumwolltasche","200g/m², 100% Baumwolle","Tragegrifflänge: 58cm, kann als Schulter- oder Tragetasche benutzt werden, Fassungsvermögen: 18l, Maße: 35x39x13,5cm"
"50.0260","Premium Bio Baumwoll Turnbeutel","200g/m², 100% zertifizierte Bio-Baumwolle","Kordelbefestigung an den Außenkanten zur leichteren Veredelung, Fassungsvermögen: 12l, Maße: 37x46cm"
"50.0261","Premium Bio Baumwolltasche","200g/m², 100% zertifizierte Bio-Baumwolle","Tragegrifflänge: 67cm, Fassungsvermögen: 10l, Maße: 38x42cm"
"50.0281","Bio Baumwolltasche naturgefärbt","140g/m², 100% zertifizierte Bio-Baumwolle","Tragegrifflänge: 67cm, kann als Schulter- oder Tragetasche benutzt werden, mit natürlichen Farben aus nachhaltigem Ursprung gefärbt, leichte Farbabweichungen aufgrund des natürlichen Färbeprozesses, bleicht mit der Zeit weiter aus, TearAway Label, Fassungsvermögen: 10l, Maße: 38x42cm"
"50.0285","Maxi Bio Baumwolltasche naturgefärbt","140g/m², 100% zertifizierte Bio-Baumwolle","Tragegrifflänge: 58cm, kann als Schulter- oder Tragetasche benutzt werden, mit natürlichen Farben aus nachhaltigem Ursprung gefärbt, leichte Farbabweichungen aufgrund des natürlichen Färbeprozesses, bleicht mit der Zeit weiter aus, TearAway Label, Fassungsvermögen: 18l, Maße: 34x39x13,5cm"
"50.0350","Fairtrade Kissenbezug","305g/m², 100% zertifizierte Fair Trade Baumwolle","Verdeckter Reißverschluss, fester Segeltuch-Stoff, in 3 Größen erhältlich, Maße: S 50x50cm, M 40x40cm, L 50x30cm"
"50.0355","Fairtrade Kissenbezug mit Paspel","305g/m², 100% gebürstetes Baumwoll-Segeltuch, Fair Trade","Verdeckter Reißverschluss, Rückseite in Kontrastfarbe, umlaufende Paspel in Kontrastfarbe, TearAway Label, Maße: 40x40cm"
"50.0407","Jute Shopper Classic","100% laminiertes Jutematerial","Gewebte Baumwoll-Tragegriffe 55cm lang, mit Polyethylen laminierte Jutefaser für mehr Stabilität, Fassungsvermögen: 21l, Maße: 42x33x19cm, nicht waschbar"
"50.0408","Jute Shopper Jumbo","Laminiertes Jutematerial","Tragegriffe aus Baumwolle Länge: 37cm, Fassungsvermögen: 29l, Maße: 45x39x21cm, nicht waschbar"
"50.0412","Jute Shopper Mini","100% laminiertes Jutematerial","Gewebte Baumwoll-Tragegriffe, Tragegrifflänge: 35cm, Fassungsvermögen: 6l, Maße: 22x26cm"
"50.0413","Jute Shopper  Midi","100% laminiertes Jutematerial","Gewebte Baumwoll-Tragegriffe, Tragegrifflänge: 40cm, Fassungsvermögen: 14l, Maße: 30x30cm"
"50.0415","Jute Tasche mit Zugkordel","100% Jute","Doppelter Kordelzug aus Strick, in 6 Größen erhältlich, nicht waschbar, Größe/Maße/Fassungsvermögen: XXS - 10x15cm - 0,25l, XS - 14x20cm - 1l, S - 25x30cm - 3l, M - 30x45cm - 8l, L - 40x55cm - 15l, XL - 55x75cm - 40l"
"50.0422","Jute Shopper Classic","Laminiertes Jutematerial, Baumwoll-Canvas","2 lange Tragegriffe aus Canvas, Länge: 60cm, Canvas Seitenteile ideal zum Bedrucken, Fassungsvermögen: 21l, Maße: 42x33x19cm, nicht waschbar"
"50.0427","Jute Einkaufstasche","310g, laminiertes Jutematerial, Vordertasche aus 100% Baumwoll-Segeltuch","Gewebte Baumwoll-Tragegriffe, Tragegrifflänge: 55cm, Vordertasche mit viel Platz für Veredelung, Fassungsvermögen: 21l, Maße: 42x33x19cm, nicht waschbar"
"50.0447","Jute Shopper","72% Jute, 28% Baumwolle, laminiertes Jutematerial","2 dicke Tragegriffe, Tragegrifflänge: 55cm, stabiler Boden, Jute/Baumwollmischung für erleichterte Veredelung, Fassungsvermögen: 21l, Maße: 42x33x19cm, nicht waschbar"
"50.0450","Jute Shopper","407g/m², 100% Jute, 100% Baumwoll-Canvas","Tragegriffe aus Baumwolle, Tragegrifflänge: 59cm, Fassungsvermögen: 13l, Maße: 36x41,5x13cm, nicht waschbar"
"50.0530","Canvas Accessoires Tasche","407g/m², 100% gebürstetes Baumwoll-Segeltuch","Metallreißverschluss im Vintage-Look, multifunktionell einsetzbar, in 4 Größen erhältlich, Größe/Maße/Fassungsvermögen: XS - 12x8,5cm - 0,25l, S - 20x11,5cm - 0,5l, M - 22,5x16cm - 1l, L - 28x20cm - 2l"
"50.0540","Canvas Accessoires Tasche","407g/m², 100% gebürstetes Baumwoll-Segeltuch","Metallreißverschluss im Vintage-Look, multifunktionell einsetzbar, in 3 Größen erhältlich, Größe/Maße/Fassungsvermögen (gemessen an der Unterseite): S - 13,5x12x6cm - 1l, M - 19x18x9cm - 3l, L - 23x22,5x11cm - 5l"
"50.0544","Canvas Accessoires Tasche","407g/m², 100% gebürstetes Baumwoll-Segeltuch","Reißverschluss, verfügbar in 2 Größen, Größe/Maße/Fassungsvermögen: M - 19x18x9cm - 3l, L - 23x23x11cm - 5l"
"50.0574","Aufbewahrungskorb","407g/m², 100% Baumwoll-Canvas","Verstärkte integrierte Griffe, in 3 Größen erhältlich, Maße/Fassungsvermögen: S 23x20cm - 6l, M 28x24cm - 13l, L 38x30cm - 28l"
"50.0608","Canvas Tasche ""Resort""","407g/m², 100% Baumwoll-Canvas","Gewebte Baumwoll-Tragegriffe 61cm lang, kann als Schulter- oder Tragetasche benutzt werden, schwerer Stoff, strukturierte Boden- und Seitenpanele, TearAway Label, Fassungsvermögen: 20l, Maße: 41x34x18cm"
"50.0610","Canvas Tasche ""Everyday""","340g/m², 100% Baumwoll-Canvas","Tragegrifflänge: 83cm, kann als Schulter- oder Tragetasche benutzt werden, TearAway Label, Fassungsvermögen: 24l, Maße: 43x34,5x13,5cm"
"50.0620","Fairtrade Flaschentasche","407g/m², 100% Baumwoll-Segeltuch, Fair Trade","Tragegrifflänge: 30cm, Fassungsvermögen: 2l, Maße: 8x27x8cm, geeignet für Flaschen mit bis zu 1,5l Fassungsvermögen"
"50.0623","Fairtrade Classic Baumwoll Shopper","407g/m², 100% zertifizierte Fair Trade Baumwolle, Canvas","2 Tragegriffe, Tragegrifflänge: 58cm, Fassungsvermögen: 21l, Maße: 39x41x14cm"
"50.0626","Fairtrade Baumwoll Tasche","407g/m², 100% Baumwoll-Segeltuch, Fair Trade","Gewebte Baumwoll-Tragegriffe 61cm lang, Innentasche mit Reißverschluss, kann als Schulter- oder Tragetasche benutzt werden, TearAway Label, Fassungsvermögen: 20l, Maße: 35x18x37cm"
"50.0671","Fairtrade Baumwoll Shopper","407g/m², 100% Baumwoll-Canvas, Fair Trade","2 Tragebänder, Tragegrifflänge: 58cm, kann als Schulter- oder Tragetasche benutzt werden, Fassungsvermögen: 13l, Maße: 28x38x12cm"
"50.0680","Strandtasche ""Nautical""","407g/m², 100% gebürstetes Baumwoll-Canvas","Tragegrifflänge: 60cm, robuste Kordel-Tragegriffe, bedrucktes Streifen-Design, Fassungsvermögen: 22l, Maße: 36x35x18cm"
"50.0690","EarthAware® Bio Bootstasche","340g/m², 100% zertifizierte Bio-Baumwolle","Tragegrifflänge: 56cm, weiche, gestreifte Baumwollgriffe, kann als Schulter- oder Tragetasche benutzt werden, Fassungsvermögen: 19l, Maße: 36x36x16cm"
"50.0701","Geschirrtuch","170g/m², 100% Baumwolle","Schlaufe zum Aufhängen, TearAway Label, Maße: 50x70cm"
"50.0710","Geschirrtuch","170g/m², 100% zertifizierte Bio-Baumwolle","Schlaufe zum Aufhängen, Label zum Abschneiden, Maße: 50x70cm"
"50.0801","EarthAware™ Bio Baumwolltasche","340g/m², 100% zertifizierte Bio-Baumwolle, Canvas","2 lange Tragegriffe, hochwertiger, robuster Stoff, Fassungsvermögen: 10l, Länge: 67cm, Maße: 38x42cm"
"50.0810","Schwerer EarthAware® Bio Turnbeutel","340g/m², 100% zertifizierte Bio-Baumwolle, Canvas","Feste Zugkordel, kann als Rucksack getragen werden, strapazierfähiges Material, Fassungsvermögen: 13l, Maße: 37x47cm"
"50.0816","EarthAware® Bio Yogamatten-Tasche","340g/m², 100% zertifizierte Bio-Baumwolle","Kordelzug, verstellbarer Schultergurt, extra Tasche mit Reißverschluss für Wertsachen, Fassungsvermögen: 16l, Maße: 19x69x19cm"
"50.0820","EarthAware™ Bio Spring Wristlet","407g/m², 100% gebürstetes Bio-Baumwollleinen","Handgelenkband, Tragegrifflänge: 15cm, Reißverschluss, in 2 Größen erhältlich, Größe/Maße/Fassungsvermögen: S - 19x17cm - 1l, L - 28x22cm - 2l"
"50.0821","Stoffbeutel","407g/m², 100% gebürstetes Bio-Baumwollleinen","Tragegrifflänge: 63cm, kann als Schulter- oder Tragetasche benutzt werden, Fassungsvermögen: 10l, Maße: 38x41cm"
"50.0825","EarthAware™ Bio Spring Tasche","407g/m², 100% gebürstetes Baumwoll-Segeltuch","Reißverschluss, schwerer Stoff, Control Union zertifizierte Baumwolle, Fassungsvermögen: 0,25l, Maße: 14,5x11cm"
"50.0850","EarthAware™ Bio Baumwolltasche","340g/m², 100% zertifizierte Bio-Baumwolle","Gewebte Baumwoll-Tragegriffe, Knebelverschluss aus Naturholz, kann als Schulter- oder Tragetasche benutzt werden, schwerer Stoff, Fassungsvermögen: 20l, Maße: 34x34x17cm"
"50.0855","XL EarthAware™ Bio Baumwolltasche","340g/m², 100% zertifizierte Bio-Baumwolle","Gewebte Baumwoll-Tragegriffe 60cm lang, Knebelverschluss aus Naturholz, kann als Schulter- oder Tragetasche benutzt werden, schwerer Stoff, Fassungsvermögen: 30l, Maße: 40x39x19cm"
"50.0880","EarthAware™ Bio Rucksack","340g/m², 100% zertifizierte Bio-Baumwolle","Kordelzug, verstellbare Schultergurte, Klappe mit Druckknopfverschluss, Fassungsvermögen: 10l, Maße: 26x38x14cm"
"50.0881","EarthAware™ Bio Mini Rucksack","340g/m², 100% zertifizierte Bio-Baumwolle","Tragegriff, verstellbare Schultergurte, verschließbar mittels Zugkordel, Klappe mit Druckknopfverschluss, Fassungsvermögen: 5l, Maße: 22x30x12cm"
"50.101C","Baumwolltasche","140g/m², 100% Baumwolle","Tragegriffe in Kontrastfarbe, Tragegrifflänge: 67cm, Fassungsvermögen: 10l, Maße: 38x42cm"
"50.101S","Baumwolltasche mit kurzem Henkel","140g/m², 100% Baumwolle","2 kurze Tragegriffe: ca. 40cm lang, Fassungsvermögen: 10l, Maße: 38x42cm"
"51.D012","Gürteltasche","600D Polyester","Verstellbarer Hüftgurt, mehrere Taschen mit Reißverschluss, Karabinerhaken, Fassungsvermögen: 2l, Maße: 37x15x10cm"
"51.D031","Kleidersack","310g, 210D Polyester","Durchgehender Reißverschluss vorne, Hängeschlaufe um den Kleidersack in der Mitte zu falten, Klarsichtfenster, Druckbereich: 23x70cm, Maße: 60x100cm"
"51.D460","Mesh Turnbeutel","75g, 210D Polyester","Kordelbefestigung an den Außenkanten zur leichteren Veredelung, Kordelzug mit Stoppern, Netzeinsätze zur Luftzirkulation, Fassungsvermögen: 11l, Maße: 34x45cm"
"51.D550","Rucksack","800g, 600D Ripstop Polyester","Verstellbarer Brustgurt, verstellbarer Netzstoff Schultergurt mit Polsterung, Fronttasche mit Reißverschluss, Netztasche innen, gepolstertes Laptopfach passend für Laptops bis max. 15,6"", zwei Netz Fächer/Flaschenhalter, Rücken ergonomisch gepolstert, reflektierende Details (ohne Schutzfunktion), TearAway Label, Fassungsvermögen: 25l, Maße: 33x46x22cm"
"51.D552","Rucksack ""Urban Commute""","570g, PVC frei, 300D Ripstop Polyester","Wasserabweisend, ergonomisch geformte Schultergurte, Tragegriff, verstellbarer Brustgurt, Fronttasche mit Reißverschluss, zwei externe Flaschentaschen, gepolstertes Laptopfach passend für Laptops bis max. 15,6"", ergonomischer atmungsaktiver gepolsterter Rücken aus Mesh, Rolltop-Verschluss, reflektierendes Detail, TearAway Label, Fassungsvermögen: 18l, Maße: 28x46x14cm"
"51.D610","Vintage Tasche mit Umschlag","620g, Gewaschener Canvas","Verstellbarer Schultergurt, Boden gepolstert, mehrere Taschen mit Reißverschluss, rückwärtige Einschubtasche, Hauptfach mit Reißverschluss, Rip-Strip™ Klettverschluss, Fassungsvermögen: 14l, Maße: 40x30x12cm"
"51.D612","Vintage Canvas Rucksack","580g, Gewaschener Canvas","Tragegriff, verstellbare und gepolsterte Schultergurte, Boden gepolstert, Fronttasche mit Reißverschluss, Innentasche mit Reißverschluss, Seitentaschen, Zugkordel mit Stopper innen, Klappe mit Karabinerverschluss, Fassungsvermögen: 18l, Maße: 30x36x16cm"
"51.D613","Vintage Canvas Reisetasche","800g, Gewaschener Canvas","Tragegriff gepolstert, abnehmbarer, verstellbarer Schultergurt mit Polsterung, Boden gepolstert, Fronttasche mit Reißverschluss, Innentasche für Wertgegenstände, Fassungsvermögen: 45l, Maße: 58x30x30cm"
