"stil","ime_anglescina","opis_materiala_anglescina","opis_artikla_anglescina"
"30.348X","Safety Shoes","Surface: polyurethane & mesh, sole: EVA (ethylene vinyl acetate)/rubber, protective cap: plastic","Breathable, padded tongue, rubber toe protection, laces in: all yellow, yellow/black, all black, rubber sole, slip resistant, antistatic, EN 20345:2011 S1P SRC, reflective detail, average weight per pair: 1kg"
"30.400F","Ladies' 3-in-1 Jacket","200g/m², outside: 100% ripstop polyester, lining: 100% polyester, inner jacket: 100% polyester, 2-layer softshell","Outer jacket: waterproof (3,000mm water column), breathable (3,000g/m² in 24h), wind repellent, tailored fit, lined stand-up collar, detachable lined hood with reflective piping (without protective function), elastic cuffs with velcro fastener, adjustable hem, 2-way zip with storm flap and velcro fastener, chest- and side pockets with zip, taped seams, inner jacket: water repellent, breathable, windproof, good printable softshell material, tailored fit, inner pocket, side pockets, decoration access"
"30.400M","Men's 3-in-1 Jacket","200g/m², outside: 100% ripstop polyester, lining: 100% polyester, inner jacket: 280g/m², 100% polyester","Outer jacket: waterproof (3,000mm water column), breathable (3,000g/m² in 24h), wind repellent, lined stand-up collar, detachable lined hood with reflective piping (without protective function), elastic cuffs with velcro fastener, adjustable hem, 2-way zip with storm flap and velcro fastener, side pockets and breast pocket with zip, taped seams, inner jacket: 2-layer softshell fabric, water repellent, breathable, 1 inner pocket, side pockets, decoration access, windproof, good printable softshell material"
"30.401X","Blizzard Padded Jacket","250g/m², outer: 100% 20D nylon with AC coating, filling: 250g 100% polyester, lining: 100% 20D nylon","stand up collar with adjustable hood, box quilt padding with ruched stitch side panels, contrast lining and zips, elasticated cuffs, 2 zipped side pockets, 1 inner pocket, neutral size label"
"30.406X","Denim 3-Layer Softshell Blouson","350g/m², outside: 60% cotton, 40% polyester, middle layer: waterproof (5,000mm water column), breathable (1,000g/m² in 24h), TPU membrane, windproof, inside: 100% polyester microfleece","Knitted cuffs and hem, zip on the front and on the side pockets in antique look, chin guard, decorative seams, stone washed for rugged vintage look (expect shade differences), very stretchy material, without label"
"30.409X","Jacket ""Ultrasonic""","Outside: 100% polyester, inner lining: 100% polyester, lining: 100% polyester padding","Long tailored fit, water repellent, stand-up collar, inside cuffs, open hem, inner pocket, side pockets with zip, seamless padding with ultrasonically welded rib design, windproof, neutral size label"
"30.452X","Safety Parka","160g/m², outside: 300D Oxford polyester with PU coating, inside: 100% 190T polyester in diamond quilting","Stand-up collar, roll-up hood with adjustable drawstring, dark dirt-resistant inserts on hem and cuffs, full-length 2-way zip, storm flap with press studs, large side pockets with cover, inner pocket, sealed seams, decoration access at the hem, EN ISO 20471:2013+A1-2016 class 3, orange also RIS-3279-TOM-class 3, 50mm wide sewn safety tapes on shoulders, body and sleeves, neutral size label"
"30.455M","Men's 3-Layer Softshell Jacket","320g/m², outside: 93% polyester, 7% elastane, inner lining: 100% polyester microfleece, TPU membrane","Water repellent (8,000mm water column), breathable (3,000g/m² in 24h), breathable, stand-up collar, YKK zip and pockets with zip, durable seams, windproof, neutral size label"
"30.457X","Safety Shoes ""Hardy""","Surface: polyester ""Flyknit"" mesh lining, suede trim, sole: PU with double density, protective cap: steel","Breathable, padded under the lacing and on the schaft, energy absorption heel, replacement insole, SRA anti-slip, moisture-regulating lining, oil resistant, very lightweight, CE EN 20345:2011 SRA SB"
"30.458X","Safety Shoes ""Hicks""","Surface: suede trim, polyester ""Flyknit"" mesh lining, sole: PU with double density, protective cap: steel","Breathable, padded under the lacing and on the schaft, water repellent shaft edging made of leather, energy absorption heel, replacement insole, SRA anti-slip, moisture-regulating lining, oil resistant, very lightweight, CE EN 20345:2011 SRA SB"
"30.459X","Safety Shoes ""Stirling""","Surface: nubuck leather, midsole: composite fabric, sole: PU with double density","Water repellent, reinforcement in the ankle area, padded collar, toe protectin made of composite fabric, SRA anti-slip, heel loop, mesh lining, antistatic, oil resistant, CE EN 20345: 2011 S3 SRC"
"30.460X","Safety Boots ""Kane""","Surface: leather with elastic side panels, midsole: steel, sole: PU with double reinforcement and air cushioning","Water repellent, steel toe cap, energy absorption heel, SRC anti-slip, steel midsole, heel loop, side panels with ventilation, mesh lining with light partial padding, antistatic, oil resistant, CE EN 20345: 2011 S3 SRC"
"30.470X","Workwear Slim Chino Trousers","300g/m², 98% cotton, 2% peached elastane twill","Waistband with button closure, adjustable waistband, YKK zip, various cargo pockets with Velcro®-puller, western styled side pockets, back pocket, double seams, reinforced fabric on critical stress points, peached surface with used-look after the first wash, windproof, 2 leg lengths, 2cm cuff on length 31'', 3XL and 4XL length 34"""
"30.471X","Workwear Slim Chino Shorts","300g/m², 98% cotton, 2% elastane","Generous cut, expandable waistband, belt loops, slim leg, YKK zip plus button, 1 pocket on the back, multifunctional cargo pocket with velcro fastener, critical stress point bar tacking, double seams"
"30.473X","3-Layer Softshell Workwear Trousers","260g/m², outside: 100% polyester, middle layer: TPU membrane, inside: 100% polyester","3-layer fabric, waistband with button closure, belt loops, reinforcement in the ankle area, adjustable waistband, reinforced inserts in the knee area, YKK front zip, zipped multifunctional cargo pocket on the thigh, hand warming side pockets, pocket with velcro fastener and flap made of rubber, ruler pocket, back pocket, 3-fold stitched seams, hammer loop, reinforced fabric on critical stress points, knee area oxford polyester with PU coating, red reflective piping at the back (without protective function)"
"30.476X","Safety Softshell Jacket","310g/m², outside: 100% ripstop polyester, middle layer: TPU membrane, breathable and windproof TPU membrane, waterproof (8,000mm water column), inside: 100% polyester microfleece","3-layer fabric, durable water repellent coating, breathable (1,000g/m² in 24h), stand-up collar, shoulder inserts made of 100% polyester oxford, edged cuffs, YKK zip with chin guard, pockets with zip, dark dirt-resistant inserts, hanging loop, EN ISO 20471:2013 A1-2016 class 2, reflective print at body and on the sleeves, soft printed safety reflectors"
"30.500X","Safety Jacket","Outside: 100% recycled polyester, ripstop fabric with TPU coating, padding: 200g/m², 100% REPREVE® recycled polyester, inner lining: 100% recycled polyester","Water repellent, breathable, lined hood, edged, elastic cuffs on sleeves, hem and hood, chin guard, YKK zip, 2 side pockets with zip, inner pocket, ergonomically extended back, decoration access on the back and left chest, hanging loop, windproof, EN ISO 20471: 2013 A1: 2016 class 2, orange colour additionally RIS-3279-TOM class 2, soft printed safety reflectors, navy only offers optimized safety, neutral size label, 40° washable, maximum 25 washing cycles"
"30.501X","Safety Polo","155g/m², 100% recycled polyester, collar: 100% polyester","Breathable and quick drying, rib knit collar, 3 button-placket, 1 spare button, decorative stitching on the shoulder and sleeve cuffs, dark contrasting waistband and collar, High Tech stretch, EN ISO 20471: 2013 A1: 2016 class 2, orange colour additionally RIS-3279-TOM class 2, soft printed safety reflectors, neutral size label, 40° washable, maximum 25 washing cycles"
"30.502X","Safety T-Shirt","155g/m², 100% recycled polyester, collar: 100% polyester","Ribbed neckline, decorative stitching on the shoulder and sleeve cuffs, dark contrasting waistband and collar, High Tech stretch, EN ISO 20471: 2013 A1: 2016 class 2, orange colour additionally RIS-3279-TOM class 2, soft printed safety reflectors, neutral size label, 40° washable, maximum 25 washing cycles"
"30.503X","Safety Hooded Sweat Jacket","280g/m², 100% REPREVE® recycled polyester","Windproof and breathable, hood with drawcord, wide ribbed cuffs on sleeves and hem, YKK zip, 2 side pockets and 1 breast pocket with zip, ergonomically extended back, warm, brushed fleece inside, hanging loop, EN ISO 20471: 2013 A1: 2016 class 2, orange colour additionally RIS-3279-TOM class 2, soft printed safety reflectors, neutral size label, 40° washable, maximum 25 washing cycles"
"30.510X","Overall","270g/m², 100% recycled polyester twill","Very generous cut, can be worn over clothing, windproof and breathable, collar with button closure, open arm and leg ends, concealed 2-way YKK zipper, 2 back pockets, chest pocket with zip, ruler pocket, patch pocket and zip pocket on the back, pen pocket, elastic band and movement pleat at the back, hanging loop, sturdy and durable, 60° washable"
"30.900F","Ladies' 3-layer Softshell Jacket ""Printable""","300g/m², outside: 100% TOPGREEN® recycled polyester, middle layer: TPU membrane, waterproof (8,000mm water column), windproof, breathable (1,000g/m² in 24h), inside: 100% recycled polyester microfleece","Water repellent, stand-up collar, back and front yoke, open arm cuffs, open hem, YKK zip with chin guard, 2 side pockets and 1 breast pocket with zip, shaping side panels and tailored cut, hanging loop, windproof, reflective piping (without protective function) on the front and back shoulder area, neutral size label, 40° washable"
"30.900X","Men's 3-Layer Softshell Jacket Printable","300g/m², outside: 100% TOPGREEN® recycled polyester, middle layer: TPU membrane, waterproof (8,000mm water column), windproof, breathable (1,000g/m² in 24h), inside: 100% recycled polyester microfleece","Lightly tailored fit, water repellent and windproof, breathable, stand-up collar, back and front yoke, open arm cuffs, open hem, YKK zip with chin guard, 2 side pockets and 1 breast pocket with zip, hanging loop, reflective piping (without protective function) on the front and back shoulder area, neutral size label, 40° washable"
"30.901F","Ladies' 2-Layer Softshell Jacket Printable","280g/m², outside: 100% TOPGREEN® recycled polyester, inside: 100% recycled polyester microfleece","Tailored fit, water repellent, windproof and breathable, open hem, soft, bound sleeve cuffs, full-length YKK NATULON® zip, side pockets with YKK NATULON® zip, hanging loop, neutral size label, 40° washable"
"30.901M","Men's 2-Layer Softshell Jacket Printable","280g/m², outside: 100% TOPGREEN® recycled polyester, inside: 100% recycled polyester microfleece","Lightly tailored fit, water repellent, windproof and breathable, open hem, soft, bound sleeve cuffs, full-length YKK NATULON® zip, side pockets with YKK NATULON® zip, hanging loop, neutral size label, 40° washable"
"30.902F","Ladies' 2-Layer Softshell Vest Printable","280g/m², outside: 100% TOPGREEN® recycled polyester, inside: 100% recycled polyester microfleece","Tailored fit, water repellent, windproof and breathable, stand-up collar, open hem, full-length YKK NATULON® zip, side pockets with YKK NATULON® zip, hanging loop, neutral size label, 40° washable"
"30.902M","Men's 2-Layer Softshell Vest Printable","280g/m², outside: 100% TOPGREEN® recycled polyester, inside: 100% recycled polyester microfleece","Lightly tailored fit, water repellent, windproof and breathable, stand-up collar, open hem, full-length YKK NATULON® zip, side pockets with YKK NATULON® zip, hanging loop, neutral size label, 40° washable"
"30.903X","Fleece Jacket","280g/m², 100% recycled polyester","Breathable, binding on sleeves and cuffs, full-length YKK NATULON® zip, side pockets with YKK NATULON® zip, fleece lined side pockets, hanging loop, tight compact fibres for minimum warmth loss, moisture regulating and quick drying, neutral size label, 40° washable"
"30.904X","Fleece Vest","280g/m², 100% recycled polyester","Breathable, soft edging on armholes and hem, full-length YKK NATULON® zip, side pockets with YKK NATULON® zip, fleece lined side pockets, hanging loop, tight compact fibres for minimum warmth loss, moisture regulating and quick drying, neutral size label, 40° washable"
"30.905J","Kids' microfleece pullover with 1/4 zip","165g/m², 100% recycled polyester","Breathable, binding on sleeves and cuffs, YKK NATULON® zip, hanging loop, quick drying, neutral size label, 40° washable"
"30.905X","Microfleece Pullover with 1/4 Zip","165g/m², 100% recycled polyester","Breathable, binding on sleeves and cuffs, YKK NATULON® zip, hanging loop, quick drying, neutral size label, 40° washable"
"30.906X","Microfleece Hooded Jacket","165g/m², 100% recycled polyester","Breathable, integral hood, binding on sleeves and cuffs, chin guard, full-length YKK NATULON® zip, side pockets, hanging loop, quick drying, neutral size label, 40° washable"
"30.907X","Microfleece Jacket","165g/m², 100% recycled polyester","Breathable, full-length YKK NATULON® zip, side pockets, hanging loop, quick drying, neutral size label"
"30.V01X","Face Mask KN95","Outside: PP non-woven fabric, inside: PP non-woven fabric, middle layer: melt down non-woven filter fabric","4-ply non-sterile mouth and nose protection (KN95) for single use, elasticated ear loops, nose bridge, non-porous mask core reduces airborne particulates, excluded from exchange and return"
"30.V04X","Face-Mask 10 Pack","Outside: PP non-woven fabric, middle layer: melt down non-woven filter fabric, inside: PP non-woven fabric","3-ply non-sterile mouth and nose protection for single use, for use in conjunction with PPE by healthcare workers, elasticated ear loops, nose bridge, non-porous mask core reduces airborne particulates, EN14683-2019 TYP ICE certified - MDD 93/42/EEC, excluded from exchange and return"
"30.V09X","Face Mask","90% cotton, 8% Prolen Siltex (antibacterial, integrated silver particles), 2% elastane","Reusable mouth and nose protection, lightweight mesh wicks away moisture, neither a medical product nor a personal protective equipment (PPE), for private use only, Prolen Siltex retains antibacterial properties for 20 washes, size: 22x10cm, individually bagged, hand wash, excluded from exchange and return"
"30.V15X","Face Mask ""Zick-Zack"" 5 Pack","90% cotton, 8% Prolen Siltex (antibacterial, integrated silver particles), 2% elastane","Reusable mouth and nose protection, breathable, neither a medical product nor a personal protective equipment (PPE), for private use only, Prolen Siltex retains antibacterial properties for 20 washes, size: 22x10cm, individually bagged, hand wash, excluded from exchange and return"
"33.0003","6 Panel Baseball Cap ""Zoom""","180g/m², 65% polyester, 35% cotton","Reinforced front panel, stitched eyelets, velcro fastener, TearAway label"
"33.0004","6 Panel Baseball Cap","65% polyester, 35% cotton","Contrasting underpeak, piping in contrasting color on the peak and fastener, reinforced front panel, velcro fastener, TearAway label"
"33.0005","6 Panel Cap ""Liberty Sandwich""","310g/m², 100% heavy brushed cotton","Piping in contrasting color on the peak, reinforced front panel, stitched eyelets, fabric fastener with metal buckle"
"33.0007","Knitted Hat ""Wind""","68g, 100% polyacrylic","Renewed sustainable model Wind-S (article: 33.0220), 2-layer, wide brim, 2 stitchings, 1x1 rib knit, TearAway label"
"33.0022","Multifunctional Neck Warmer ""Hotty""","260g/m², 100% polyester fleece","Adjustable cord with stopper, wearable as scarf or cap, TearAway label"
"33.0033","6 Panel Cap ""Start Six""","160g/m², 100% cotton","Reinforced front panel, stitched eyelets, velcro fastener, TearAway label"
"33.0035","Military Cap ""Tank""","235g/m², 100% cotton, sweatband: 65% polyester, 35% cotton","4 seams on the peak, military look, velcro fastener, TearAway label"
"33.0037","Knittted Hat","65g, 100% polyacrylic, grey/grey: 52% polyacrylic, 46% polyester","Renewed sustainable model Moover-S (article: 33.0221), fine 2-layer rib knit, TearAway label"
"33.0038","5 Panel Baseball Cap ""Start Five""","160g/m², 100% cotton-twill","Centered reinforced front segment without central seam, stitched eyelets, velcro fastener, TearAway label"
"33.0039","5 Panel Cap ""Start Five Sandwich""","160g/m², 100% cotton","Piping in contrasting color on the peak, centered reinforced front segment without central seam, stitched eyelets, velcro fastener, TearAway label"
"33.0060","Reversible Hat ""Extreme""","64g, 73% polyester, 23% cotton, 4% elastane","Longer fit, outside and inside in contrasting color, portable on both sides, TearAway label"
"33.0061","Stretch Hat ""Flash""","48g, 95% cotton, 5% elastane","Lightweight beanie, longer fit, 2-layer, elastic fabric, TearAway label"
"33.0062","Melange Knitted Beanie","100% acrylic","Variable brim, heathered look, TearAway label"
"33.0064","5 Panel Cap ""Snap Five""","400g/m², 100% polyester, underside: 100% cotton","Extra wide flat peak, seamless front panel, Snap fastener, TearAway label"
"33.0100","Knitted Hat ""Andy""","82g, 50% recycled polyester, 50% acrylic","Wide brim, fine rib knit, TearAway label"
"33.0101","Fleece Hat ""Birk""","230g/m², 100% recycled polyester, fleece","Straight cut, soft fleece, light and warm"
"33.0102","6 Panel Trucker Cap","200g/m², 100% recycled polyester twill, sides and backside: 100% recycled polyester","Lightly curved peak, breathable and light, mesh on the sides and back, Snap fastener, TearAway label"
"33.0103","5 Panel Baseball Cap","200g/m², 100% recycled polyester twill","Lightly curved peak, stitched eyelets, velcro fastener"
"33.0104","6 Panel Cap","270g/m², 100% certified organic cotton twill","Curved visor, fabric fastener with metal buckle, TearAway label"
"33.0106","Knitted Hat ""Holly""","58g, 60% Polylana® polyester, 40% acrylic","Straight cut, 2-layer, soft Polylana® yarn"
"33.0107","Multifunctional tube fabric ""Hotty-S""","230g/m², 100% recycled polyester, fleece","Drawstring, lightweight fabric, moisture regulating, TearAway label"
"33.0108","6 Panel Cap","200g/m², 100% recycled polyester twill","Flat peak, stitched eyelets, Snap fastener, TearAway label"
"33.0109","6 Panel Baseball Cap","200g/m², 100% recycled polyester twill","Lightly curved peak, stitched eyelets, velcro fastener, TearAway label"
"33.0110","Kids' 6 Panel Cap","270g/m², 100% certified organic cotton twill","Curved visor, buckle closure, TearAway label"
"33.0111","Kids' Knitted Beanie","50g, 100% certified organic cotton","Without brim, fine rib knit, antiallergic natural fibers, soft stretchy material, TearAway label"
"33.0112","Knitted Hat ""Maple""","80g, 60% Polylana® polyester, 40% acrylic","Rib knit cuffs, brim, soft and warm"
"33.0113","Knitted Hat ""Nelson""","78g, 100% certified organic cotton","Wide brim, fine rib knit, antiallergic natural fibers, TearAway label"
"33.0114","Knitted Hat ""Oak""","102g, 60% Polylana® polyester, 40% acrylic","1-layer rib knit, wide brim, soft and warm, TearAway label"
"33.0115","Fisherman Hat","260g/m², 60% recycled cotton, 40% cotton-twill","Short, steep brim, 2 embroidered ventilation holes, TearAway label"
"33.0116","5 Panel Baseball Cap","220g/m², 100% recycled polyester twill","Curved visor, reinforced front, 6 decorative seams on the peak, medium cap profile, 4 embroidered ventilation holes, velcro fastener, TearAway label"
"33.0117","6 Panel Baseball Cap","220g/m², 100% recycled polyester twill","Curved visor, 6 embroidered ventilation holes, velcro fastener, TearAway label"
"33.0118","6 Panel Cap","255g/m², 100% recycled polyester","Environmentally friendly dyeing process with low water consumption, lightly curved peak, 6 embroidered ventilation holes, velcro fastener, TearAway label"
"33.0119","Knitted Hat ""Yala""","60g, 100% certified organic cotton","Without brim, fine rib knit, antiallergic natural fibers, soft stretchy material, TearAway label"
"33.0120","5 Panel Trucker Cap","200g/m², 100% recycled polyester twill, sides and backside: 100% recycled polyester","Breathable and light, mesh on the sides and back, stitched eyelets, Snap fastener, TearAway label"
"33.0130","6 Panel Baseball Cap ""Air""","90g/m², 100% polyester","Sticker on the peak, pre-formed peak, polyester sweatband, lasered eyelets, velcro fastener, TearAway label"
"33.0131","5 Panel Baseball Cap ""Alien""","240g/m², 100% brushed cotton-twill","Pre-formed peak, sweatband made from 35% cotton and 65% polyester, reinforced front panel, stitched eyelets, velcro fastener, TearAway label"
"33.0132","Bandana Hat","150g/m², 100% cotton-twill","To be tied up at the neck, pre-formed, TearAway label"
"33.0133","6 Panel Cap ""Bank""","90g/m², 100% polyester, underside: 100% cotton","Renewed sustainable model Bank Five-S (article: 33.0232), sticker on the peak, flat peak with 4 seams, cotton sweatband, reinforced front panel, lasered eyelets, Snap fastener, TearAway label"
"33.0134","6 Panel Baseball Cap ""Battle""","330g/m², 75% polyester, 22% viscose, 3% elastane, under peak: 100% cotton","Sticker on the peak, contrasting underpeak, 8 decorative seams on the peak, cotton sweatband, structured front segment, stitched eyelets, Snap fastener, TearAway label"
"33.0135","6 Panel Baseball Cap ""Beat""","400g/m², main fabric: 100% polyester, inside: 100% cotton","Sticker on the peak, pre-formed peak, 8 decorative seams on the peak, Chino cotton sweatband, reinforced front panel, stitched eyelets, Snap fastener, TearAway label"
"33.0136","6 Panel Cap ""Bolt""","170g/m², 100% polyester-stretch-twill","Sticker on the peak, pre-formed peak, 6 decorative seams on the peak, polyester sweatband, structured front segment, stitched eyelets, velcro fastener, TearAway label"
"33.0137","6 Panel Flat Peak Cap","140g/m², 70% viscose, 30% polyester, underside: 100% cotton","Sticker on the peak, contrasting underpeak, flat peak, 8 decorative seams on the peak, elastic sweatband, structured front segment, stitched eyelets, Snap fastener, TearAway label"
"33.0138","Fisherman Hat","180g/m², 100% cotton","8 decorative stitching on the brim, cotton sweatband, TearAway label"
"33.0139","Fisherman Hat ""Bucket Pocket""","85g/m², 100% ripstop nylon","1 side pockets, 8 decorative stitching on the brim, TearAway label"
"33.0140","6 Panel Baseball Cap ""Caddy""","230g/m², 97% polyester, 3% elastane","6 seams on the peak, sticker on the peak, pre-formed peak, fully closed back, contrasting piping, elastic sweatband, structured front segment, stitched eyelets, TearAway label"
"33.0141","6 Panel Trucker Cap ""Campus""","224g/m², 100% nylon, sides and backside: 100% polyester, underside: 100% cotton","Sticker on the peak, pre-formed peak, 8 decorative seams on the peak, cotton sweatband, structured front segment, stitched eyelets, velcro fastener, TearAway label"
"33.0142","1 Panel Baseball Cap ""Cap-One""","190g/m², 100% polyester","Cap without segments and seams, sticker on the peak, pre-formed peak, 6 decorative seams on the peak, fully closed back, elastic sweatband, TearAway label"
"33.0143","Captain Sunvisor ""Captain""","98g, 100% cotton","Cotton sweatband, structured front segment, velcro fastener, TearAway label"
"33.0144","6 Panel Baseball Cap ""Champion""","320g/m², 100% heavy cotton twill, 0% cotton-twill","Pre-formed peak, 6 decorative seams on the peak, cotton sweatband, structured front segment, stitched eyelets, fabric fastener with metal buckle, TearAway label"
"33.0146","6 Panel Baseball Cap ""Cordy""","280g/m², 100% cotton cord","Renewed sustainable model Cordy-S (article: 33.0226), pre-formed peak, 6 decorative seams on the peak, polyester sweatband, structured front segment, stitched eyelets, velcro fastener, TearAway label"
"33.0147","6 Panel Baseball Cap ""Contest""","220g/m², 87% cotton, 13% polyester, sides and backside: 100% polyester, jersey","Sticker on the peak, curved visor, 8 decorative seams on the peak, structured front segment, stitched eyelets, Snap fastener, TearAway label"
"33.0148","Knitted Hat with Pompon ""Cool""","110g, 100% polyacrylic","Wide brim, with pompon, 2x2 rib knit, TearAway label"
"33.0149","6 Panel Baseball Cap ""Dad Hat Destroyed""","280g/m², 100% chino cotton-twill","Sticker on the peak, pre-formed peak, peak with destroyed effect, 8 decorative seams on the peak, cotton sweatband, stitched eyelets, fabric fastener with metal buckle, TearAway label"
"33.0151","Knitted Loop Scarf ""Dapper""","158g, 100% polyacrylic, rib knit","1-layer, TearAway label"
"33.0152","5 Panel Cap ""Deck""","280g/m², 100% chino cotton-twill","Sticker on the peak, flat peak, cross seam at upper forehead area, 6 decorative seams on the peak, cotton sweatband, structured front segment, stitched eyelets, Snap fastener, TearAway label"
"33.0153","Knitted Hat ""Dolomiti""","62g, 80% polyacrylic, 15% wool, 5% viscose","1-layer, brim, TearAway label"
"33.0154","Hat ""Doozy""","280g/m², 100% cotton","Rolled hem, 6 stitchings, roughened inside, TearAway label, oversize"
"33.0155","Denim Baseball Cap","250g/m², 100% chino cotton","Curved visor, 6 decorative seams on the peak, cotton sweatband, stitched eyelets, pre-washed fabric, TearAway label"
"33.0156","6 Panel Baseball Cap ""Energy""","110g/m², 100% ripstop polyester","Sticker on the peak, lightly curved peak, water repellent, 6 decorative seams on the peak, Dry-Tech sweatband made of polyester, stitched eyelets, velcro fastener with silicone loop for size adjustment, TearAway label"
"33.0158","Knitted Hat with Pompon ""Everest Beanie""","93g, 100% polyacrylic","1-layer, inside with fleece tape for a comfortable fit, TearAway label"
"33.0159","6 Panel Cap ""Fader""","275g/m², 85% polyacrylic, 15% wool, under peak: 100% cotton, upper peak: 100% polyester","Sticker on the peak, flat peak, 6 decorative seams on the peak, contrasting details and peak, cotton sweatband, structured front segment, stitched eyelets, Snap fastener, TearAway label"
"33.0160","6 Panel Baseball Cap ""Feed""","220g/m²,","Lightly curved peak, Snap fastener, melange look, TearAway label"
"33.0161","Fisherman Hat ""Forever""","290g/m², 100% chino cotton-twill","7 decorative seams on the peak, cotton sweatband, stitched eyelets, pre-washed, TearAway label"
"33.0163","6 Panel Baseball Velvet Cap ""G.O.A.T.""","250g/m², 100% polyamide velvet, under peak: 100% cotton","Sticker on the peak, contrasting underpeak, pre-formed peak, 6 decorative seams on the peak, cotton sweatband, structured front segment, stitched eyelets, Snap fastener, TearAway label"
"33.0164","Peaked Cap ""Gatsby Street""","260g/m², 100% chino cotton-twill","Cotton sweatband, garment washed smooth material, TearAway label"
"33.0165","5 Panel Baseball Cap ""Gear""","89g, main fabric: 100% cotton, sides and backside: 98% polyester, 2% elastane","Sticker on the peak, peak and front panel in carbon fiber optics, 6 decorative seams on the peak, polyester sweatband, reinforced front panel, stitched eyelets, TearAway label"
"33.0166","Fisherman Hat ""Geo""","200g/m², 100% recycled polyester twill","Environmentally friendly dyeing process with low water consumption, 7 decorative stitching on the brim, polyester sweatband, stitched eyelets, TearAway label"
"33.0167","Hat ""Globe Trotter""","132g, 100% cotton canvas","Lower brim in contrasting color, 7 decorative stitching on the brim, cotton sweatband, side air holes with metal eyelets, TearAway label"
"33.0168","Touchscreen Knitted Gloves","52-58g, 100% polyacrylic","Ribbed cuffs, integrated metallic fibres on finger tips for optimal handling of touch screen surfaces, TearAway label"
"33.0169","6 Panel Baseball Cap ""Golf""","240g/m², 100% heavy brushed cotton, sides and backside: 100% polyester","Pre-formed peak, mesh on the sides and back, piping in matching color, sweatband made from 35% cotton and 65% polyester, structured front segment, stitched eyelets, velcro fastener, TearAway label"
"33.0171","6 Panel Baseball Cap ""Gym""","90g/m², 100% polyester, sweatband: 65% polyester, 35% cotton","Curved visor, breathable inserts in contrasting color, velcro fastener, TearAway label"
"33.0172","6 Panel Mesh Cap ""Jogging""","85g/m², 100% polyester","Sticker on the peak, curved visor, polyester sweatband, structured front segment, stitched eyelets, breathable inserts in contrasting color, velcro fastener with silicone loop for size adjustment, TearAway label"
"33.0173","6 Panel Baseball Cap ""Jolly""","270g/m², 100% chino cotton-twill","Curved visor, 4 decorative seams on the peak, cotton sweatband, structured front segment, stitched eyelets, velcro fastener, TearAway label"
"33.0175","Kids' Hat ""Kid Brooklin""","320g/m², 60% cotton, 40% polyester","Oversize look, rolled hem, TearAway label"
"33.0176","Kids' 6 Panel Cap ""Snap Back""","400g/m², 100% polyester, underside: 100% cotton","Sticker on the peak, flat peak, sweatband made from 35% cotton and 65% polyester, reinforced front panel, Snap fastener, TearAway label, size: 54cm"
"33.0177","Kids' 5 Panel Baseball Cap ""Start Five""","160g/m², 100% cotton-twill","Sweatband made from 35% cotton and 65% polyester, centered reinforced front segment without central seam, stitched eyelets, velcro fastener, TearAway label"
"33.0178","Kids' Knitted Hat ""Wind""","51g, 100% polyacrylic","Renewed sustainable model Kid Wind-S (article: 33.0235), 2-layer, wide brim, 6 stitchings, 1x1 rib knit, TearAway label"
"33.0179","5 Panel Trucker Cap ""Knit Cap""","85g, 67% polyester, 33% nylon, under peak: 100% cotton","Curved visor, 8 decorative seams on the peak, Snap fastener, TearAway label"
"33.0180","5 Panel Baseball Cap ""Liberty Five""","250g/m², 100% brushed cotton-twill","6 seams on the peak, pre-formed peak, polyester sweatband, reinforced front panel, stitched eyelets, velcro fastener"
"33.0181","5 Panel Baseball Cap ""Liberty Five Buckle""","250g/m², 100% brushed cotton-twill","6 seams on the peak, pre-formed peak, polyester sweatband, stitched eyelets, fabric fastener with metal buckle, TearAway label"
"33.0182","6 Panel Baseball Cap ""Liberty Six Buckle""","250g/m², 100% heavy brushed cotton-twill","Lightly curved peak, 6 decorative seams on the peak, polyester sweatband, reinforced front panel, stitched eyelets, fabric fastener with metal buckle, TearAway label"
"33.0183","6 Panel Baseball Cap ""Loop""","280g/m², 75% polyester, 22% cotton, 3% elastane, under peak: 100% cotton","Sticker on the peak, contrasting underpeak, 8 decorative seams on the peak, cotton sweatband, structured front segment, stitched eyelets, Snap fastener, TearAway label"
"33.0185","Knitted Hat with Pompom ""Monte Bianco""","88g, 80% polyacrylic, 15% wool, 5% viscose","Fake fur pompon, soft fabric, TearAway label"
"33.0186","6 Panel Cap with Neck Protection ""Nomad""","185g/m², 85% polyester, 15% cotton, sweatband: 65% polyester, 35% cotton","Renewed sustainable model Nomad-S (article: 33.0233), curved visor, elastic cord with stopper, TearAway label"
"33.0187","Knitted Hat with Pompom ""Peak""","108g, 100% polyacrylic, lining: 100% polyester fleece","Pompon and trim in contrasting color, TearAway label"
"33.0188","Thinsulate™ Knitted Hat ""Pier""","70g, 100% polyacrylic, lining: 100% polyester, fleece","2-layer, with brim, 4 stitchings, Thinsulate™ inner lining, TearAway label"
"33.0189","6 Panel Baseball Cap ""Pitcher""","305g/m², 98% cotton, 2% elastane","Sticker on the peak, contrasting underpeak, 5 decorative seams on the peak, backside fully closed, cotton sweatband, structured front segment, stitched eyelets, TearAway label"
